0,1,2,3,mean,prot,sample,sd
20180718-1300-0004,HPCA,0.21064353750452747,0.20394064165249404,,,,
20180718-1300-0004,YFP,0.3667776148715985,0.28176555585972446,,,,
20180718-1316-0008,HPCA,0.21624145751913462,0.1738975899965068,,,,
20180718-1316-0008,YFP,0.40440453079717037,0.1709267286289522,,,,
20180718-1255-0003,HPCA,0.05573748736533774,0.12463281064393085,,,,
20180718-1255-0003,YFP,0.1025715030677583,0.22935685341383574,,,,
20180718-1315-0007,HPCA,0.12769765222661014,0.09763279148446895,,,,
20180718-1315-0007,YFP,0.6103491928446749,0.11664862355276233,,,,
20180718-1252-0001,HPCA,0.22065697997405015,0.2621291308057368,,,,
20180718-1252-0001,YFP,0.31297685374983647,0.3517242172292431,,,,
20180718-1316-0009,HPCA,0.28622642939287923,0.09653740154293615,,,,
20180718-1316-0009,YFP,0.6896560158665238,0.14982676211322835,,,,
20180718-1254-0002,HPCA,0.2206271825136556,0.3408560373065131,,,,
20180718-1254-0002,YFP,0.25382595052236384,0.38466128992804605,,,,
20180718-1300-0005,HPCA,0.3271144125855335,0.21591000587052075,,,,
20180718-1300-0005,YFP,0.45929121453916694,0.2994074885286386,,,,
20180718-1301-0006,HPCA,0.5689916139538789,0.26645629941382787,,,,
20180718-1301-0006,YFP,0.6742501541867878,0.22129062956827172,,,,
